Snake_ID,Pic_number,Date,LumS,LumSe,LumR,LogLumS,LogLumSe,LogLumR,HueS,HueBSe,HueBR,Tb,Sky,Ground
Alice,1,4-Jun-22,0.112,0.051,0.087,-0.950781977,-1.292429824,-1.060480747,1.024271845,0.887850467,0.99408284,33.5,SunnyCloudy,Sunny
Alice,2,21-Jun-22,0.104,0.108,0.151,-0.982966661,-0.966576245,-0.821023053,0.828451883,0.953917051,1.05,33,SunnyCloudy,Shade
Alice,3,26-Apr-22,0.174,0.149,0.398,-0.759450752,-0.826813732,-0.400116928,1.018461538,0.823188406,1.379888268,34.5,Sunny,SunnyShade
Bowie,1,30-Apr-22,0.076,0.086,0.233,-1.119186408,-1.065501549,-0.632644079,0.942307692,1.062893082,1.163771712,29.2,Sunny,SunnyShade
Dusty,1,13-Aug-22,0.151,0.15,0.157,-0.821023053,-0.823908741,-0.804100348,1.072463768,1.084870849,1.098181818,25.8,Sunny,Shade
Dusty,2,14-Jun-22,0.152,0.101,0.187,-0.818156412,-0.995678626,-0.728158393,1.038596491,1.010526316,1.174757282,35.3,Cloudy,Shade
Dusty,3,30-Apr-22,0.191,0.127,0.267,-0.718966633,-0.896196279,-0.573488739,1.235690236,1.24,1.286396181,22.2,Sunny,Sunny
ElCoco,1,10-Jul-22,0.261,0.217,0.205,-0.583359493,-0.663540266,-0.688246139,1.005825243,1.023923445,1.12568306,29.3,Sunny,Shade
ElCoco,2,10-Jun-22,0.134,0.109,0.214,-0.872895202,-0.962573502,-0.669586227,1.076612903,0.948275862,1.166219839,37.7,SunnyCloudy,Shade
ElCoco,3,14-May-22,0.205,0.147,0.15,-0.688246139,-0.832682665,-0.823908741,1.209090909,1.185185185,1.127819549,34.8,Sunny,Shade
ElCoco,4,2-Sep-22,0.153,0.133,0.137,-0.815308569,-0.876148359,-0.863279433,1.159533074,1.122881356,1.176724138,32.6,Cloudy,Shade
ElCoco,5,6-May-22,0.251,0.256,0.155,-0.600326279,-0.591760035,-0.809668302,1.122171946,1.164733179,1.183908046,36.5,Sunny,Shade
Eliane,1,12-Apr-23,0.37,0.263,0.082,-0.431798276,-0.580044252,-1.086186148,1.40862423,1.378151261,0.843243243,26.5,Sunny,SunnyShade
Eliane,2,19-Apr-23,0.178,0.2,0.16,-0.749579998,-0.698970004,-0.795880017,1.222627737,1.087719298,1.226720648,33.5,Cloudy,Cloudy
Gibbard,1,23-Apr-22,0.53,0.321,0.127,-0.27572413,-0.493494968,-0.896196279,1.378223496,1.27991453,1.186602871,20.7,Sunny,SunnyShade
