Label,u,s,m,l,Type
AliceR_04JUNE_MSPEC_a1,0.08,0.07,0.089,0.098,Random
AliceR_21JUNE_MSPEC_a1,0.127,0.134,0.153,0.16,Random
AliceR_26APR_MSPEC_a1,0.143,0.261,0.394,0.48,Random
Alice_21JUN22_MSPEC_a1,0.131,0.085,0.108,0.113,Snake
Alice_21JUN22_MSPEC_b1,0.107,0.084,0.11,0.123,Selected
Alice_26APR_MSPEC_a1,0.15,0.133,0.175,0.198,Snake
Alice_26APR_MSPEC_b1,0.193,0.119,0.152,0.165,Selected
Alice_4JUN22_MSPEC_a1,0.091,0.09,0.115,0.121,Snake
Alice_4JUN22_MSPEC_b1,0.051,0.042,0.056,0.053,Selected
BowieR_30APR_MSPEC_a1,0.182,0.172,0.221,0.297,Random
Bowie_30APR_MSPEC_b1,0.072,0.071,0.087,0.098,Selected
Bowie_30APR_MSPEC_a1,0.078,0.06,0.078,0.087,Snake
CATEST19R_14JUNE_MSPEC_a1,0.109,0.121,0.165,0.193,Random
CATEST19_14JUN22_MSPEC_a1,0.158,0.16,0.209,0.239,Snake
CATEST19_14JUN22_MSPEC_b1,0.093,0.108,0.141,0.158,Selected
DustyR_14JUNE_MSPEC_a1,0.124,0.147,0.185,0.216,Random
DustyR_30APR_MSPEC_a1,0.152,0.209,0.267,0.33,Random
Dusty_13AUG22_a1,0.124,0.129,0.152,0.167,Snake
Dusty_13AUG22_b1,0.122,0.122,0.149,0.172,Selected
Dusty_13AUG22_R_a1,0.119,0.11,0.156,0.192,Random
Dusty_14JUN22_MSPEC_a1,0.134,0.119,0.151,0.177,Snake
Dusty_14JUN22_MSPEC_b1,0.087,0.075,0.103,0.117,Selected
Dusty_30APR_MSPEC_b1,0.075,0.093,0.125,0.155,Selected
Dusty_30APR_MSPEC_a1,0.106,0.145,0.191,0.222,Snake
ElCocoR_06MAY_MSPEC_a1,0.111,0.119,0.15,0.19,Random
ElCocoR_10JUNE_MSPEC_a1,0.169,0.179,0.204,0.256,Random
ElCocoR_14MAY_MSPEC_a1,0.12,0.125,0.146,0.175,Random
ElCoco_10JUL22_MSPEC_b1,0.205,0.173,0.213,0.255,Selected
ElCoco_10JUL22_MSPEC_a1,0.26,0.222,0.255,0.296,Snake
ELCoco_10JULY_MSPEC_a1,0.171,0.161,0.195,0.251,Random
ElCoco_10JUN22_MSPEC_a1,0.117,0.11,0.131,0.157,Snake
ElCoco_10JUN22_MSPEC_b1,0.125,0.096,0.107,0.124,Selected
Elcoco_14MAY22_MSPEC_a1,0.127,0.163,0.203,0.236,Snake
Elcoco_14MAY22_MSPEC_b1,0.099,0.109,0.144,0.179,Selected
ElCoco_19SEP22_a1,0.259,0.175,0.23,0.253,Snake
ElCoco_19SEP22_b1,0.311,0.196,0.268,0.306,Selected
ElCoco_19SEP22_R_a1,0.105,0.112,0.145,0.161,Random
ElCoco_2SEP22_a1,0.106,0.12,0.151,0.178,Snake
ElCoco_2SEP22_b1,0.106,0.111,0.13,0.154,Selected
ElCoco_2SEP22_R_a1,0.1,0.107,0.132,0.166,Random
ElCoco_6MAY22_MSPEC_b1,0.182,0.2,0.249,0.302,Selected
ElCoco_6MAY22_MSPEC_a1,0.197,0.208,0.245,0.288,Snake
ElianeR_12APR_MSPEC_a1,0.099,0.071,0.086,0.085,Random
ElianeR_19APR_MSPEC_a1,0.085,0.123,0.162,0.18,Random
Eliane_12APR_MSPEC_b1,0.095,0.177,0.262,0.315,Selected
Eliane_12APR_MSPEC_a1,0.123,0.217,0.364,0.469,Snake
Eliane_19APR_MSPEC_b1,0.137,0.155,0.205,0.217,Selected
Eliane_19APR_MSPEC_a1,0.095,0.122,0.179,0.213,Snake
GibbardR_23APR_MSPEC_a1,0.081,0.109,0.128,0.139,Random
GibbardR_30APR_MSPEC_a1,0.12,0.136,0.163,0.184,Random
Gibbard_23APR_MSPEC_b1,0.149,0.215,0.319,0.384,Selected
Gibbard_23APR_MSPEC_a1,0.173,0.287,0.525,0.675,Snake
Gibbard_30APR_MSPEC_b1,0.134,0.148,0.199,0.242,Selected
Gibbard_30APR_MSPEC_a1,0.128,0.127,0.157,0.186,Snake
HankR_14MAY_MSPEC_a1,0.065,0.083,0.113,0.134,Random
HankR_19MAY_MSPEC_a1,0.134,0.181,0.26,0.315,Random
Hank_05JULY_MSPEC_a1,0.185,0.204,0.259,0.305,Random
Hank_09JULY_MSPEC_a1,0.092,0.1,0.114,0.113,Random
Hank_14MAY22_MSPEC_a1,0.205,0.124,0.167,0.198,Snake
Hank_14MAY22_MSPEC_b1,0.231,0.355,0.563,0.732,Selected
Hank_19MAY22_MSPEC_a1,0.118,0.111,0.135,0.154,Snake
Hank_19MAY22_MSPEC_b1,0.065,0.071,0.091,0.094,Selected
Hank_30JUL22_R_a1,0.125,0.115,0.138,0.166,Random
Hank_30JULY22_MSPEC_a1,0.112,0.099,0.129,0.151,Snake
Hank_30JULY22_MSPEC_b1,0.106,0.098,0.129,0.168,Selected
Hank_5JUL22_MSPEC_a1,0.101,0.129,0.167,0.188,Snake
Hank_5JUL22_MSPEC_b1,0.113,0.143,0.197,0.225,Selected
Hank_9JUL22_MSPEC_b1,0.088,0.115,0.155,0.188,Selected
Hank_9JUL22_MSPEC_a1,0.098,0.122,0.166,0.189,Snake
KurtR_07MAY_MSPEC_a1,0.1,0.095,0.123,0.164,Random
KurtR_14MAY_MSPEC_a1,0.137,0.177,0.271,0.385,Random
KurtR_30APRIL_MSPEC_a1,0.121,0.15,0.184,0.217,Random
Kurt_14MAY22_MSPEC_a1,0.1,0.053,0.057,0.05,Snake
Kurt_14MAY22_MSPEC_b1,0.071,0.06,0.066,0.064,Selected
Kurt_30APR22_MSPEC_b1,0.072,0.091,0.123,0.134,Selected
Kurt_30APR22_MSPEC_a1,0.063,0.076,0.096,0.105,Snake
Kurt_7MAY22_MSPEC_b1,0.131,0.115,0.169,0.202,Selected
Kurt_7MAY22_MSPEC_a1,0.096,0.081,0.103,0.11,Snake
ShakeyR_05APRIL_MSPEC_a1,0.086,0.077,0.093,0.109,Random
ShakeyR_07MAY_MSPEC_a1,0.121,0.12,0.147,0.184,Random
ShakeyR_11JUNE_MSPEC_a1,0.118,0.094,0.134,0.185,Random
ShakeyR_12APRIL_MSPEC_a1,0.136,0.177,0.223,0.263,Random
ShakeyR_25JUNE_MSPEC_a1,0.113,0.111,0.132,0.144,Random
Shakey_11JUN22_MSPEC_a1,0.166,0.112,0.123,0.138,Snake
Shakey_11JUN22_MSPEC_b1,0.117,0.124,0.153,0.174,Selected
Shakey_12APR22_MSPEC_b1,0.066,0.12,0.191,0.244,Selected
Shakey_12APR22_MSPEC_a1,0.044,0.077,0.099,0.111,Snake
Shakey_25JUN22_MSPEC_a1,0.058,0.046,0.056,0.055,Snake
Shakey_25JUN22_MSPEC_b1,0.082,0.086,0.122,0.154,Selected
Shakey_5APR22_MSPEC_b1,0.049,0.071,0.089,0.09,Selected
Shakey_5APR22_MSPEC_a1,0.036,0.056,0.07,0.071,Snake
Shakey_7MAY22_MSPEC_b1,0.068,0.087,0.133,0.177,Selected
Shakey_7MAY22_MSPEC_a1,0.123,0.113,0.159,0.187,Snake
ShaniaR_10JUNE_MSPEC_a1,0.156,0.175,0.217,0.274,Random
Shania_10JUN22_MSPEC_a1,0.144,0.11,0.128,0.149,Snake
Shania_10JUN22_MSPEC_b1,0.081,0.09,0.124,0.161,Selected
TYR_04JUNE_MSPEC_a1,0.082,0.071,0.085,0.099,Random
Ty_4JUN22_MSPEC_a1,0.168,0.219,0.404,0.539,Snake
Ty_4JUN22_MSPEC_b1,0.169,0.19,0.312,0.399,Selected
UnIDF_2SEP22_a1,0.077,0.084,0.105,0.117,Snake
UnIDF_2SEP22_b1,0.145,0.143,0.174,0.2,Selected
UnIDF_2SEP22_R_a1,0.093,0.078,0.096,0.111,Random
WillyR_04JUNE_MSPEC_a1,0.137,0.12,0.154,0.168,Random
WillyR_21JUNE_MSPEC_a1,0.12,0.136,0.155,0.158,Random
WillyR_26APR_MSPEC_a1,0.094,0.123,0.167,0.195,Random
WillyR_30APRIL_MSPEC_a1,0.14,0.151,0.197,0.239,Random
Willy_21JUN22_MSPEC_a1,0.101,0.08,0.107,0.128,Snake
Willy_21JUN22_MSPEC_b1,0.106,0.08,0.102,0.115,Selected
Willy_26APR_MSPEC_b1,0.138,0.154,0.236,0.295,Selected
Willy_26APR_MSPEC_a1,0.108,0.118,0.162,0.208,Snake
Willy_30APR22_MSPEC_b1,0.104,0.075,0.095,0.102,Selected
Willy_30APR22_MSPEC_a1,0.069,0.052,0.062,0.063,Snake
Willy_4JUN22_MSPEC_a1,0.118,0.121,0.164,0.201,Snake
Willy_4JUN22_MSPEC_b1,0.093,0.083,0.111,0.126,Selected
YvetteR_16APRIL_MSPEC_a1,0.137,0.17,0.231,0.287,Random
YvetteR_23APR_MSPEC_a1,0.181,0.275,0.355,0.414,Random
Yvette_16APR22_MSPEC_b1,0.131,0.222,0.295,0.349,Selected
Yvette_16APR22_MSPEC_a1,0.091,0.144,0.195,0.232,Snake
Yvette_23APR_MSPEC_b1,0.108,0.121,0.161,0.185,Selected
Yvette_23APR_MSPEC_a1,0.105,0.135,0.181,0.211,Snake
ZoeR_11JUNE_MSPEC_a1,0.126,0.15,0.193,0.241,Random
ZoeR_12APR_MSPEC_a1,0.138,0.155,0.187,0.229,Random
Zoe_11JUN22_MSPEC_a1,0.144,0.108,0.113,0.126,Snake
Zoe_11JUN22_MSPEC_b1,0.094,0.084,0.102,0.122,Selected
Zoe_12APR_MSPEC_b1,0.097,0.124,0.193,0.258,Selected
Zoe_12APR_MSPEC_a1,0.061,0.067,0.092,0.104,Snake
