s,l,Type,Label
0.072,0.085,Random,AliceR_04JUNE_MSPEC_a1
0.13,0.147,Random,AliceR_21JUNE_MSPEC_a1
0.216,0.361,Random,AliceR_26APR_MSPEC_a1
0.095,0.104,Snake,Alice_21JUN22_MSPEC_a1
0.087,0.105,Selected,Alice_21JUN22_MSPEC_b1
0.132,0.167,Snake,Alice_26APR_MSPEC_a1
0.134,0.149,Selected,Alice_26APR_MSPEC_b1
0.09,0.108,Snake,Alice_4JUN22_MSPEC_a1
0.044,0.05,Selected,Alice_4JUN22_MSPEC_b1
0.171,0.219,Random,BowieR_30APR_MSPEC_a1
0.071,0.083,Selected,Bowie_30APR_MSPEC_b1
0.063,0.074,Snake,Bowie_30APR_MSPEC_a1
0.115,0.155,Random,CATEST19R_14JUNE_MSPEC_a1
0.156,0.198,Snake,CATEST19_14JUN22_MSPEC_a1
0.102,0.132,Selected,CATEST19_14JUN22_MSPEC_b1
0.137,0.176,Random,DustyR_14JUNE_MSPEC_a1
0.186,0.256,Random,DustyR_30APR_MSPEC_a1
0.126,0.146,Snake,Dusty_13AUG22_a1
0.12,0.144,Selected,Dusty_13AUG22_b1
0.11,0.148,Random,Dusty_13AUG22_R_a1
0.121,0.146,Snake,Dusty_14JUN22_MSPEC_a1
0.077,0.096,Selected,Dusty_14JUN22_MSPEC_b1
0.088,0.118,Selected,Dusty_30APR_MSPEC_b1
0.132,0.179,Snake,Dusty_30APR_MSPEC_a1
0.115,0.146,Random,ElCocoR_06MAY_MSPEC_a1
0.171,0.204,Random,ElCocoR_10JUNE_MSPEC_a1
0.123,0.143,Random,ElCocoR_14MAY_MSPEC_a1
0.178,0.21,Selected,ElCoco_10JUL22_MSPEC_b1
0.225,0.255,Snake,ElCoco_10JUL22_MSPEC_a1
0.159,0.194,Random,ELCoco_10JULY_MSPEC_a1
0.11,0.128,Snake,ElCoco_10JUN22_MSPEC_a1
0.102,0.108,Selected,ElCoco_10JUN22_MSPEC_b1
0.152,0.193,Snake,Elcoco_14MAY22_MSPEC_a1
0.107,0.138,Selected,Elcoco_14MAY22_MSPEC_b1
0.175,0.224,Snake,ElCoco_19SEP22_a1
0.196,0.262,Selected,ElCoco_19SEP22_b1
0.107,0.137,Random,ElCoco_19SEP22_R_a1
0.114,0.144,Snake,ElCoco_2SEP22_a1
0.108,0.127,Selected,ElCoco_2SEP22_b1
0.104,0.129,Random,ElCoco_2SEP22_R_a1
0.189,0.242,Selected,ElCoco_6MAY22_MSPEC_b1
0.2,0.24,Snake,ElCoco_6MAY22_MSPEC_a1
0.08,0.082,Random,ElianeR_12APR_MSPEC_a1
0.11,0.15,Random,ElianeR_19APR_MSPEC_a1
0.146,0.24,Selected,Eliane_12APR_MSPEC_b1
0.181,0.332,Snake,Eliane_12APR_MSPEC_a1
0.146,0.191,Selected,Eliane_19APR_MSPEC_b1
0.112,0.165,Snake,Eliane_19APR_MSPEC_a1
0.098,0.121,Random,GibbardR_23APR_MSPEC_a1
0.128,0.157,Random,GibbardR_30APR_MSPEC_a1
0.187,0.295,Selected,Gibbard_23APR_MSPEC_b1
0.239,0.473,Snake,Gibbard_23APR_MSPEC_a1
0.138,0.19,Selected,Gibbard_30APR_MSPEC_b1
0.121,0.152,Snake,Gibbard_30APR_MSPEC_a1
0.076,0.105,Random,HankR_14MAY_MSPEC_a1
0.161,0.242,Random,HankR_19MAY_MSPEC_a1
0.191,0.249,Random,Hank_05JULY_MSPEC_a1
0.095,0.108,Random,Hank_09JULY_MSPEC_a1
0.135,0.165,Snake,Hank_14MAY22_MSPEC_a1
0.301,0.522,Selected,Hank_14MAY22_MSPEC_b1
0.109,0.131,Snake,Hank_19MAY22_MSPEC_a1
0.068,0.084,Selected,Hank_19MAY22_MSPEC_b1
0.117,0.135,Random,Hank_30JUL22_R_a1
0.103,0.124,Snake,Hank_30JULY22_MSPEC_a1
0.101,0.126,Selected,Hank_30JULY22_MSPEC_b1
0.121,0.156,Snake,Hank_5JUL22_MSPEC_a1
0.133,0.183,Selected,Hank_5JUL22_MSPEC_b1
0.105,0.146,Selected,Hank_9JUL22_MSPEC_b1
0.114,0.155,Snake,Hank_9JUL22_MSPEC_a1
0.094,0.121,Random,KurtR_07MAY_MSPEC_a1
0.161,0.259,Random,KurtR_14MAY_MSPEC_a1
0.138,0.177,Random,KurtR_30APRIL_MSPEC_a1
0.063,0.056,Snake,Kurt_14MAY22_MSPEC_a1
0.061,0.063,Selected,Kurt_14MAY22_MSPEC_b1
0.087,0.113,Selected,Kurt_30APR22_MSPEC_b1
0.074,0.089,Snake,Kurt_30APR22_MSPEC_a1
0.118,0.159,Selected,Kurt_7MAY22_MSPEC_b1
0.086,0.097,Snake,Kurt_7MAY22_MSPEC_a1
0.079,0.09,Random,ShakeyR_05APRIL_MSPEC_a1
0.118,0.144,Random,ShakeyR_07MAY_MSPEC_a1
0.101,0.131,Random,ShakeyR_11JUNE_MSPEC_a1
0.16,0.213,Random,ShakeyR_12APRIL_MSPEC_a1
0.108,0.127,Random,ShakeyR_25JUNE_MSPEC_a1
0.122,0.125,Snake,Shakey_11JUN22_MSPEC_a1
0.119,0.146,Selected,Shakey_11JUN22_MSPEC_b1
0.099,0.175,Selected,Shakey_12APR22_MSPEC_b1
