Label,l,m,s,lumMean,Type
AliceR_04JUNE_MSPEC_a1,0.091,0.086,0.072,0.072,Random
AliceR_21JUNE_MSPEC_a1,0.154,0.15,0.134,0.134,Random
AliceR_26APR_MSPEC_a1,0.416,0.384,0.27,0.27,Random
Alice_21JUN22_MSPEC_a1,0.107,0.103,0.085,0.085,Snake
Alice_21JUN22_MSPEC_b1,0.112,0.106,0.085,0.085,Selected
Alice_26APR_MSPEC_a1,0.18,0.17,0.134,0.134,Snake
Alice_26APR_MSPEC_b1,0.154,0.147,0.118,0.118,Selected
Alice_4JUN22_MSPEC_a1,0.115,0.11,0.09,0.09,Snake
Alice_4JUN22_MSPEC_b1,0.054,0.052,0.045,0.045,Selected
BowieR_30APR_MSPEC_a1,0.242,0.219,0.17,0.17,Random
Bowie_30APR_MSPEC_b1,0.089,0.084,0.073,0.073,Selected
Bowie_30APR_MSPEC_a1,0.079,0.074,0.063,0.063,Snake
CATEST19R_14JUNE_MSPEC_a1,0.171,0.16,0.12,0.12,Random
CATEST19_14JUN22_MSPEC_a1,0.215,0.203,0.157,0.157,Snake
CATEST19_14JUN22_MSPEC_b1,0.144,0.137,0.108,0.108,Selected
DustyR_14JUNE_MSPEC_a1,0.192,0.181,0.146,0.146,Random
DustyR_30APR_MSPEC_a1,0.285,0.264,0.209,0.209,Random
Dusty_13AUG22_a1,0.155,0.149,0.128,0.128,Snake
Dusty_13AUG22_b1,0.154,0.146,0.122,0.122,Selected
Dusty_13AUG22_R_a1,0.164,0.151,0.109,0.109,Random
Dusty_14JUN22_MSPEC_a1,0.157,0.147,0.119,0.119,Snake
Dusty_14JUN22_MSPEC_b1,0.105,0.098,0.076,0.076,Selected
Dusty_30APR_MSPEC_b1,0.132,0.121,0.094,0.094,Selected
Dusty_30APR_MSPEC_a1,0.198,0.186,0.144,0.144,Snake
ElCocoR_06MAY_MSPEC_a1,0.161,0.148,0.12,0.12,Random
ElCocoR_10JUNE_MSPEC_a1,0.22,0.204,0.18,0.18,Random
ElCocoR_14MAY_MSPEC_a1,0.154,0.144,0.125,0.125,Random
ElCoco_10JUL22_MSPEC_b1,0.223,0.209,0.17,0.17,Selected
ElCoco_10JUL22_MSPEC_a1,0.267,0.254,0.218,0.218,Snake
ELCoco_10JULY_MSPEC_a1,0.211,0.194,0.161,0.161,Random
ElCoco_10JUN22_MSPEC_a1,0.138,0.129,0.11,0.11,Snake
ElCoco_10JUN22_MSPEC_b1,0.112,0.106,0.098,0.098,Selected
Elcoco_14MAY22_MSPEC_a1,0.21,0.199,0.16,0.16,Snake
Elcoco_14MAY22_MSPEC_b1,0.152,0.14,0.109,0.109,Selected
ElCoco_19SEP22_a1,0.237,0.225,0.178,0.178,Snake
ElCoco_19SEP22_b1,0.28,0.263,0.2,0.2,Selected
ElCoco_19SEP22_R_a1,0.148,0.141,0.113,0.113,Random
ElCoco_2SEP22_a1,0.158,0.148,0.121,0.121,Snake
ElCoco_2SEP22_b1,0.137,0.128,0.112,0.112,Selected
ElCoco_2SEP22_R_a1,0.142,0.13,0.109,0.109,Random
ElCoco_6MAY22_MSPEC_b1,0.264,0.246,0.199,0.199,Selected
ElCoco_6MAY22_MSPEC_a1,0.257,0.243,0.206,0.206,Snake
ElianeR_12APR_MSPEC_a1,0.084,0.081,0.071,0.071,Random
ElianeR_19APR_MSPEC_a1,0.165,0.157,0.123,0.123,Random
Eliane_12APR_MSPEC_b1,0.274,0.254,0.177,0.177,Selected
Eliane_12APR_MSPEC_a1,0.39,0.352,0.221,0.221,Snake
Eliane_19APR_MSPEC_b1,0.205,0.198,0.153,0.153,Selected
Eliane_19APR_MSPEC_a1,0.186,0.172,0.121,0.121,Snake
GibbardR_23APR_MSPEC_a1,0.131,0.125,0.112,0.112,Random
