Photo,Zone A,Zone B,JND_diff,Selected_random,Model,JND_Type
Alice_21JUN22_MSPEC,a1,b1,0.565527419,Selected,DomesticDog,Color
Alice_26APR_MSPEC,a1,b1,0.817427442,Selected,DomesticDog,Color
Alice_4JUN22_MSPEC,a1,b1,0.311016257,Selected,DomesticDog,Color
Bowie_30APR_MSPEC,a1,b1,0.074230115,Selected,DomesticDog,Color
CATEST19_14JUN22_MSPEC,a1,b1,0.089315741,Selected,DomesticDog,Color
Dusty_13AUG22,a1,b1,0.200993446,Selected,DomesticDog,Color
Dusty_14JUN22_MSPEC,a1,b1,0.230136202,Selected,DomesticDog,Color
Dusty_30APR_MSPEC,a1,b1,0.030612386,Selected,DomesticDog,Color
ElCoco_10JUL22_MSPEC,a1,b1,0.260526451,Selected,DomesticDog,Color
ElCoco_10JUN22_MSPEC,a1,b1,0.62724838,Selected,DomesticDog,Color
Elcoco_14MAY22_MSPEC,a1,b1,0.069827249,Selected,DomesticDog,Color
ElCoco_19SEP22,a1,b1,0.26885374,Selected,DomesticDog,Color
ElCoco_2SEP22,a1,b1,0.495670835,Selected,DomesticDog,Color
ElCoco_6MAY22_MSPEC,a1,b1,0.412308385,Selected,DomesticDog,Color
Eliane_12APR_MSPEC,a1,b1,0.698394479,Selected,DomesticDog,Color
Eliane_19APR_MSPEC,a1,b1,0.754626965,Selected,DomesticDog,Color
Gibbard_23APR_MSPEC,a1,b1,1.443194523,Selected,DomesticDog,Color
Gibbard_30APR_MSPEC,a1,b1,0.556951541,Selected,DomesticDog,Color
Hank_14MAY22_MSPEC,a1,b1,2.236024465,Selected,DomesticDog,Color
Hank_19MAY22_MSPEC,a1,b1,0.153231785,Selected,DomesticDog,Color
Hank_30JULY22_MSPEC,a1,b1,0.252574194,Selected,DomesticDog,Color
Hank_5JUL22_MSPEC,a1,b1,0.41875262,Selected,DomesticDog,Color
Hank_9JUL22_MSPEC,a1,b1,0.153886738,Selected,DomesticDog,Color
Kurt_14MAY22_MSPEC,a1,b1,0.90310753,Selected,DomesticDog,Color
Kurt_30APR22_MSPEC,a1,b1,0.422880457,Selected,DomesticDog,Color
Kurt_7MAY22_MSPEC,a1,b1,1.090992057,Selected,DomesticDog,Color
Shakey_11JUN22_MSPEC,a1,b1,1.15990206,Selected,DomesticDog,Color
Shakey_12APR22_MSPEC,a1,b1,1.56694421,Selected,DomesticDog,Color
Shakey_25JUN22_MSPEC,a1,b1,1.791333328,Selected,DomesticDog,Color
Shakey_5APR22_MSPEC,a1,b1,0.040826533,Selected,DomesticDog,Color
Shakey_7MAY22_MSPEC,a1,b1,1.109953963,Selected,DomesticDog,Color
Shania_10JUN22_MSPEC,a1,b1,1.30435982,Selected,DomesticDog,Color
Ty_4JUN22_MSPEC,a1,b1,0.89345005,Selected,DomesticDog,Color
UnIDF_2SEP22,a1,b1,0.06017306,Selected,DomesticDog,Color
Willy_21JUN22_MSPEC,a1,b1,0.25097464,Selected,DomesticDog,Color
Willy_26APR_MSPEC,a1,b1,0.770348914,Selected,DomesticDog,Color
Willy_30APR22_MSPEC,a1,b1,0.377601385,Selected,DomesticDog,Color
Willy_4JUN22_MSPEC,a1,b1,0.560008048,Selected,DomesticDog,Color
Yvette_16APR22_MSPEC,a1,b1,0.113065271,Selected,DomesticDog,Color
Yvette_23APR_MSPEC,a1,b1,0.277556637,Selected,DomesticDog,Color
Zoe_11JUN22_MSPEC,a1,b1,1.033130114,Selected,DomesticDog,Color
Zoe_12APR_MSPEC,a1,b1,1.434086154,Selected,DomesticDog,Color
Alice_4JUN22_MSPEC,a1,a1,0.091503541,Random,DomesticDog,Color
AliceR_21JUNE_MSPEC,a1,a1,0.194630057,Random,DomesticDog,Color
AliceR_26APR_MSPEC,a1,a1,1.745177751,Random,DomesticDog,Color
Bowie_30APR_MSPEC,a1,a1,0.52557431,Random,DomesticDog,Color
CATEST19_14JUN22_MSPEC,a1,a1,0.330840798,Random,DomesticDog,Color
Dusty_14JUN22_MSPEC,a1,a1,0.399190994,Random,DomesticDog,Color
Dusty_30APR_MSPEC,a1,a1,0.110974752,Random,DomesticDog,Color
Dusty_13AUG22_R,a1,a1,0.957052019,Random,DomesticDog,Color
ElCoco_6MAY22_MSPEC,a1,a1,0.372721111,Random,DomesticDog,Color
ElCoco_10JUN22_MSPEC,a1,a1,0.125876858,Random,DomesticDog,Color
Elcoco_14MAY22_MSPEC,a1,a1,0.561519755,Random,DomesticDog,Color
ELCoco_10JULY_MSPEC,a1,a1,0.46513042,Random,DomesticDog,Color
ElCoco_19SEP22_R,a1,a1,0.0445729,Random,DomesticDog,Color
ElCoco_2SEP22_R,a1,a1,0.145263771,Random,DomesticDog,Color
Eliane_12APR_MSPEC,a1,a1,3.641631127,Random,DomesticDog,Color
Eliane_19APR_MSPEC,a1,a1,0.51871239,Random,DomesticDog,Color
Gibbard_23APR_MSPEC,a1,a1,2.984509989,Random,DomesticDog,Color
Gibbard_30APR_MSPEC,a1,a1,0.187113459,Random,DomesticDog,Color
Hank_14MAY22_MSPEC,a1,a1,0.813041484,Random,DomesticDog,Color
Hank_19MAY22_MSPEC,a1,a1,1.432722835,Random,DomesticDog,Color
Hank_5JUL22_MSPEC,a1,a1,0.076524519,Random,DomesticDog,Color
Hank_9JUL22_MSPEC,a1,a1,1.148833621,Random,DomesticDog,Color
Hank_30JULY22_MSPEC,a1,a1,0.24489962,Random,DomesticDog,Color
Kurt_7MAY22_MSPEC,a1,a1,0.779337697,Random,DomesticDog,Color
Kurt_14MAY22_MSPEC,a1,a1,3.706071219,Random,DomesticDog,Color
Kurt_30APR22_MSPEC,a1,a1,0.337697005,Random,DomesticDog,Color
Shakey_5APR22_MSPEC,a1,a1,0.591396529,Random,DomesticDog,Color
Shakey_7MAY22_MSPEC,a1,a1,0.492314366,Random,DomesticDog,Color
Shakey_11JUN22_MSPEC,a1,a1,1.517777945,Random,DomesticDog,Color
ShakeyR_12APRIL_MSPEC,a1,a1,0.208826167,Random,DomesticDog,Color
ShakeyR_25JUNE_MSPEC,a1,a1,0.867928077,Random,DomesticDog,Color
Shania_10JUN22_MSPEC,a1,a1,1.034947125,Random,DomesticDog,Color
Ty_4JUN22_MSPEC,a1,a1,3.256914818,Random,DomesticDog,Color
UnIDF_2SEP22_R,a1,a1,0.363228443,Random,DomesticDog,Color
Willy_4JUN22_MSPEC,a1,a1,0.813214994,Random,DomesticDog,Color
Willy_21JUN22_MSPEC,a1,a1,0.303755623,Random,DomesticDog,Color
Willy_26APR_MSPEC,a1,a1,0.034918745,Random,DomesticDog,Color
Willy_30APR22_MSPEC,a1,a1,1.327008017,Random,DomesticDog,Color
Yvette_16APR22_MSPEC,a1,a1,0.046375121,Random,DomesticDog,Color
Yvette_23APR_MSPEC,a1,a1,0.235055551,Random,DomesticDog,Color
Zoe_11JUN22_MSPEC,a1,a1,1.792802469,Random,DomesticDog,Color
ZoeR_12APR_MSPEC,a1,a1,0.032857569,Random,DomesticDog,Color
Alice_21JUN22_MSPEC,a1,b1,1.629491085,Selected,DomesticDog,Luminance
Alice_26APR_MSPEC,a1,b1,0.293141904,Selected,DomesticDog,Luminance
Alice_4JUN22_MSPEC,a1,b1,14.17653755,Selected,DomesticDog,Luminance
Bowie_30APR_MSPEC,a1,b1,2.566844664,Selected,DomesticDog,Luminance
CATEST19_14JUN22_MSPEC,a1,b1,8.389851531,Selected,DomesticDog,Luminance
