Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
Alice_21JUN22_MSPEC,a1,b1,0.035465704,Selected,Dog,3.5465704
Alice_26APR_MSPEC,a1,b1,0.107392211,Selected,Dog,10.7392211
Alice_4JUN22_MSPEC,a1,b1,0.04692857,Selected,Dog,4.692857
Bowie_30APR_MSPEC,a1,b1,0.022898958,Selected,Dog,2.2898958
CATEST19_14JUN22_MSPEC,a1,b1,0.014502498,Selected,Dog,1.4502498
Dusty_13AUG22,a1,b1,0.017910188,Selected,Dog,1.7910188
Dusty_14JUN22_MSPEC,a1,b1,0.011617965,Selected,Dog,1.1617965
Dusty_30APR_MSPEC,a1,b1,0.049345383,Selected,Dog,4.9345383
ElCoco_10JUL22_MSPEC,a1,b1,0.014957079,Selected,Dog,1.4957079
ElCoco_10JUN22_MSPEC,a1,b1,0.097956632,Selected,Dog,9.7956632
Elcoco_14MAY22_MSPEC,a1,b1,0.021148176,Selected,Dog,2.1148176
ElCoco_19SEP22,a1,b1,0.010080041,Selected,Dog,1.0080041
ElCoco_2SEP22,a1,b1,0.034217946,Selected,Dog,3.4217946
ElCoco_6MAY22_MSPEC,a1,b1,0.117268436,Selected,Dog,11.7268436
Eliane_12APR_MSPEC,a1,b1,0.127368155,Selected,Dog,12.7368155
Eliane_19APR_MSPEC,a1,b1,0.031566775,Selected,Dog,3.1566775
Gibbard_23APR_MSPEC,a1,b1,0.179756466,Selected,Dog,17.9756466
Gibbard_30APR_MSPEC,a1,b1,0.037069818,Selected,Dog,3.7069818
Hank_14MAY22_MSPEC,a1,b1,0.299398467,Selected,Dog,29.9398467
Hank_19MAY22_MSPEC,a1,b1,0.034589815,Selected,Dog,3.4589815
Hank_30JULY22_MSPEC,a1,b1,0.011801833,Selected,Dog,1.1801833
Hank_5JUL22_MSPEC,a1,b1,0.020339004,Selected,Dog,2.0339004
Hank_9JUL22_MSPEC,a1,b1,0.031754958,Selected,Dog,3.1754958
Kurt_14MAY22_MSPEC,a1,b1,0.028082234,Selected,Dog,2.8082234
Kurt_30APR22_MSPEC,a1,b1,0.035977222,Selected,Dog,3.5977222
Kurt_7MAY22_MSPEC,a1,b1,0.029228976,Selected,Dog,2.9228976
Shakey_11JUN22_MSPEC,a1,b1,0.018248882,Selected,Dog,1.8248882
Shakey_12APR22_MSPEC,a1,b1,0.056536364,Selected,Dog,5.6536364
Shakey_25JUN22_MSPEC,a1,b1,0.045430776,Selected,Dog,4.5430776
