Label,u,s,m,l,Type
AliceR_04JUNE_MSPEC_a1,0.071,0.071,0.091,0.095,Random
AliceR_21JUNE_MSPEC_a1,0.131,0.139,0.153,0.156,Random
AliceR_26APR_MSPEC_a1,0.229,0.306,0.394,0.469,Random
Alice_21JUN22_MSPEC_a1,0.092,0.087,0.109,0.109,Snake
Alice_21JUN22_MSPEC_b1,0.086,0.089,0.111,0.118,Selected
Alice_26APR_MSPEC_a1,0.131,0.146,0.176,0.192,Snake
Alice_26APR_MSPEC_b1,0.129,0.125,0.153,0.16,Selected
Alice_4JUN22_MSPEC_a1,0.091,0.093,0.117,0.118,Snake
Alice_4JUN22_MSPEC_b1,0.044,0.041,0.058,0.051,Selected
BowieR_30APR_MSPEC_a1,0.172,0.181,0.22,0.287,Random
Bowie_30APR_MSPEC_b1,0.072,0.072,0.088,0.094,Selected
Bowie_30APR_MSPEC_a1,0.061,0.062,0.079,0.082,Snake
CATEST19R_14JUNE_MSPEC_a1,0.117,0.131,0.166,0.188,Random
CATEST19_14JUN22_MSPEC_a1,0.157,0.172,0.209,0.234,Snake
CATEST19_14JUN22_MSPEC_b1,0.104,0.116,0.142,0.154,Selected
DustyR_14JUNE_MSPEC_a1,0.14,0.158,0.185,0.21,Random
DustyR_30APR_MSPEC_a1,0.191,0.23,0.266,0.321,Random
Dusty_13AUG22_a1,0.127,0.133,0.153,0.162,Snake
Dusty_13AUG22_b1,0.121,0.128,0.149,0.167,Selected
Dusty_13AUG22_R_a1,0.11,0.119,0.156,0.186,Random
Dusty_14JUN22_MSPEC_a1,0.121,0.125,0.151,0.172,Snake
Dusty_14JUN22_MSPEC_b1,0.077,0.078,0.104,0.113,Selected
Dusty_30APR_MSPEC_b1,0.09,0.098,0.125,0.149,Selected
Dusty_30APR_MSPEC_a1,0.136,0.157,0.191,0.217,Snake
ElCocoR_06MAY_MSPEC_a1,0.116,0.126,0.15,0.183,Random
ElCocoR_10JUNE_MSPEC_a1,0.172,0.187,0.203,0.247,Random
ElCocoR_14MAY_MSPEC_a1,0.124,0.128,0.146,0.169,Random
ElCoco_10JUL22_MSPEC_b1,0.177,0.181,0.213,0.248,Selected
ElCoco_10JUL22_MSPEC_a1,0.223,0.232,0.255,0.289,Snake
ELCoco_10JULY_MSPEC_a1,0.159,0.169,0.194,0.242,Random
ElCoco_10JUN22_MSPEC_a1,0.11,0.113,0.131,0.151,Snake
ElCoco_10JUN22_MSPEC_b1,0.1,0.096,0.108,0.119,Selected
Elcoco_14MAY22_MSPEC_a1,0.156,0.172,0.203,0.231,Snake
Elcoco_14MAY22_MSPEC_b1,0.109,0.114,0.144,0.174,Selected
ElCoco_19SEP22_a1,0.169,0.204,0.231,0.244,Snake
ElCoco_19SEP22_b1,0.188,0.234,0.269,0.294,Selected
ElCoco_19SEP22_R_a1,0.109,0.121,0.146,0.157,Random
ElCoco_2SEP22_a1,0.116,0.128,0.151,0.173,Snake
ElCoco_2SEP22_b1,0.109,0.114,0.131,0.148,Selected
ElCoco_2SEP22_R_a1,0.105,0.112,0.133,0.159,Random
ElCoco_6MAY22_MSPEC_b1,0.192,0.215,0.248,0.294,Selected
ElCoco_6MAY22_MSPEC_a1,0.202,0.22,0.244,0.281,Snake
ElianeR_12APR_MSPEC_a1,0.078,0.069,0.087,0.083,Random
ElianeR_19APR_MSPEC_a1,0.114,0.133,0.163,0.176,Random
Eliane_12APR_MSPEC_b1,0.155,0.206,0.262,0.308,Selected
Eliane_12APR_MSPEC_a1,0.193,0.261,0.364,0.457,Snake
Eliane_19APR_MSPEC_b1,0.149,0.171,0.206,0.213,Selected
Eliane_19APR_MSPEC_a1,0.116,0.136,0.179,0.208,Snake
GibbardR_23APR_MSPEC_a1,0.1,0.116,0.128,0.134,Random
GibbardR_30APR_MSPEC_a1,0.13,0.144,0.164,0.179,Random
Gibbard_23APR_MSPEC_b1,0.195,0.249,0.319,0.377,Selected
Gibbard_23APR_MSPEC_a1,0.257,0.36,0.523,0.658,Snake
Gibbard_30APR_MSPEC_b1,0.14,0.163,0.199,0.235,Selected
Gibbard_30APR_MSPEC_a1,0.121,0.137,0.157,0.179,Snake
HankR_14MAY_MSPEC_a1,0.078,0.09,0.114,0.129,Random
HankR_19MAY_MSPEC_a1,0.166,0.206,0.26,0.308,Random
Hank_05JULY_MSPEC_a1,0.194,0.223,0.259,0.297,Random
Hank_09JULY_MSPEC_a1,0.096,0.104,0.115,0.11,Random
Hank_14MAY22_MSPEC_a1,0.13,0.136,0.168,0.19,Snake
Hank_14MAY22_MSPEC_b1,0.317,0.419,0.56,0.71,Selected
Hank_19MAY22_MSPEC_a1,0.108,0.118,0.136,0.148,Snake
Hank_19MAY22_MSPEC_b1,0.069,0.074,0.093,0.09,Selected
Hank_30JUL22_R_a1,0.117,0.116,0.138,0.16,Random
Hank_30JULY22_MSPEC_a1,0.103,0.102,0.129,0.147,Snake
Hank_30JULY22_MSPEC_b1,0.101,0.1,0.129,0.162,Selected
Hank_5JUL22_MSPEC_a1,0.125,0.137,0.168,0.184,Snake
Hank_5JUL22_MSPEC_b1,0.137,0.157,0.197,0.221,Selected
Hank_9JUL22_MSPEC_b1,0.107,0.126,0.155,0.182,Selected
Hank_9JUL22_MSPEC_a1,0.117,0.133,0.167,0.185,Snake
KurtR_07MAY_MSPEC_a1,0.094,0.099,0.123,0.156,Random
KurtR_14MAY_MSPEC_a1,0.167,0.199,0.269,0.371,Random
KurtR_30APRIL_MSPEC_a1,0.141,0.161,0.184,0.211,Random
Kurt_14MAY22_MSPEC_a1,0.059,0.051,0.058,0.046,Snake
Kurt_14MAY22_MSPEC_b1,0.06,0.059,0.068,0.06,Selected
Kurt_30APR22_MSPEC_b1,0.089,0.095,0.124,0.132,Selected
Kurt_30APR22_MSPEC_a1,0.075,0.076,0.097,0.102,Snake
Kurt_7MAY22_MSPEC_b1,0.119,0.125,0.169,0.198,Selected
Kurt_7MAY22_MSPEC_a1,0.086,0.081,0.104,0.107,Snake
ShakeyR_05APRIL_MSPEC_a1,0.079,0.077,0.094,0.104,Random
ShakeyR_07MAY_MSPEC_a1,0.118,0.125,0.147,0.177,Random
ShakeyR_11JUNE_MSPEC_a1,0.1,0.097,0.134,0.179,Random
ShakeyR_12APRIL_MSPEC_a1,0.164,0.194,0.223,0.256,Random
ShakeyR_25JUNE_MSPEC_a1,0.108,0.116,0.133,0.139,Random
